,orig_index,datetime_obj,piezo_charge_decrease,piezo_charge_avg,piezo_temperature,air_humidity_100,air_temperature_100,atm_pressure_main,num_of_resets,piezo_charge_decrease_offset,precipitation_prediction
1,1,2020-10-01 00:00:00+00:00,98,45074.0,30.5,,,9412.0,0,1.6420606780044267,0.0
2,2,2020-10-01 01:00:00+00:00,102,44974.0,31.0,,,9415.5,0,3.6643154403956544,0.0
3,3,2020-10-01 02:00:00+00:00,98,44874.0,31.0,39.0,31.344,9419.0,0,-0.3356845596043456,0.0
4,4,2020-10-01 03:00:00+00:00,97,44776.5,31.0,38.5,31.281,9417.5,0,-1.3356845596043456,0.0
5,5,2020-10-01 04:00:00+00:00,96,44680.0,30.5,38.5,31.034,9413.5,0,-0.3579393219955733,0.0
6,6,2020-10-01 05:00:00+00:00,95,44584.5,30.0,,,9411.0,0,0.5800291423857686,0.0
7,7,2020-10-01 06:00:00+00:00,96,44489.0,30.0,,,9412.0,0,1.5800291423857686,0.0
8,8,2020-10-01 07:00:00+00:00,94,44394.0,30.0,39.5,30.658,9414.0,0,-0.41997085761423136,0.0
9,9,2020-10-01 08:00:00+00:00,96,44299.0,30.0,40.5,30.609,9417.0,0,1.5800291423857686,0.0
10,10,2020-10-01 09:00:00+00:00,95,44203.5,30.0,41.0,30.531,9422.0,0,0.5800291423857686,0.0
11,11,2020-10-01 11:00:00+00:00,188,44062.0,30.0,42.5,30.403,9431.5,0,93.58002914238577,0.64
12,12,2020-10-01 12:00:00+00:00,94,43921.0,30.0,,,9438.0,0,-0.41997085761423136,0.0
13,13,2020-10-01 13:00:00+00:00,96,43826.0,30.0,,,9437.5,0,1.5800291423857686,0.0
14,14,2020-10-01 14:00:00+00:00,96,43730.0,30.0,44.0,30.494999999999997,9434.5,0,1.5800291423857686,0.0
15,15,2020-10-01 15:00:00+00:00,101,43631.5,30.0,44.0,30.430999999999997,9446.0,0,6.580029142385769,0.0
16,16,2020-10-01 16:00:00+00:00,322,43420.0,30.0,,,9460.0,0,227.58002914238577,4.22
17,17,2020-10-01 18:00:00+00:00,857,42830.5,32.5,,,9466.5,0,752.484170782819,18.2
18,18,2020-10-01 19:38:34.924000+00:00,318,42243.0,36.5,25.0,36.760000000000005,9425.5,0,195.037919102695,3.35
19,19,2020-10-01 20:00:00+00:00,51,42058.5,38.5,21.0,38.464,9378.5,0,-82.37234002386256,0.0
20,20,2020-10-01 21:00:00+00:00,119,41973.5,38.0,,,9379.0,0,-11.68993117612581,0.0
21,21,2020-10-01 22:00:00+00:00,115,41856.5,34.0,,,9384.0,0,3.915619941265277,0.0
22,22,2020-10-01 23:00:00+00:00,91,41753.5,29.5,33.0,30.58,9391.5,0,-1.5209791687363463,0.0
23,23,2020-10-02 00:00:00+00:00,87,41664.5,27.5,36.5,29.383,9394.0,0,1.700663396858971,0.0
24,24,2020-10-02 01:00:00+00:00,82,41580.0,26.5,39.0,28.235,9397.5,0,0.09727148072433067,0.0
25,25,2020-10-02 03:00:00+00:00,144,41467.0,24.0,48.0,25.303,9400.5,0,70.00878452698667,0.02
26,26,2020-10-02 04:00:00+00:00,65,41362.5,21.5,59.5,22.774,9398.0,0,-1.8439265229781086,0.0
27,27,2020-10-02 05:00:00+00:00,63,41298.5,20.5,64.0,21.796,9397.0,0,-1.1822103804297228,0.0
28,28,2020-10-02 06:00:00+00:00,63,41235.5,20.0,63.5,21.393,9397.5,0,0.10863395026855471,0.0
29,29,2020-10-02 07:00:00+00:00,62,41173.0,20.0,65.5,21.237000000000002,9397.5,0,-0.8913660497314453,0.0
30,30,2020-10-02 08:00:00+00:00,59,41112.5,19.5,,,9398.0,0,-2.6264834158370505,0.0
31,31,2020-10-02 09:00:00+00:00,60,41053.0,19.0,,,9402.5,0,-0.3870403323613658,0.0
32,32,2020-10-02 10:00:00+00:00,59,40993.5,18.5,65.5,21.109,9410.5,0,-0.17252515442282146,0.0
33,33,2020-10-02 11:00:00+00:00,73,40927.5,21.0,50.5,26.232,9418.0,0,7.500450728636594,0.0
34,34,2020-10-02 12:00:00+00:00,102,40840.0,28.0,33.5,32.313,9423.5,0,14.94989581169608,0.0
35,35,2020-10-02 14:00:00+00:00,256,40661.0,36.0,25.5,36.101,9423.5,0,135.51095491863734,1.76
36,36,2020-10-02 15:00:00+00:00,142,40462.0,41.0,21.0,39.04,9418.5,0,-5.63318168410234,0.0
37,37,2020-10-02 16:00:00+00:00,156,40313.0,43.5,18.0,41.275999999999996,9411.5,0,-7.418864288289285,0.0
38,38,2020-10-02 17:00:00+00:00,160,40155.0,45.5,16.5,42.338,9403.5,0,-17.254289900756447,0.0
39,39,2020-10-02 18:00:00+00:00,160,39995.0,45.5,16.0,42.252,9396.0,0,-17.254289900756447,0.0
40,40,2020-10-02 19:00:00+00:00,155,39837.5,44.5,17.0,40.926,9390.0,0,-15.19604797353199,0.0
41,41,2020-10-02 20:00:00+00:00,138,39691.0,42.5,18.0,39.918000000000006,9387.0,0,-18.911547143723453,0.0
42,42,2020-10-02 21:00:00+00:00,127,39558.5,39.5,20.5,37.854,9389.0,0,-11.903456953409943,0.0
43,43,2020-10-02 22:00:00+00:00,103,39443.5,35.0,26.0,33.653,9393.0,0,-12.691187550012259,0.0
44,44,2020-10-02 23:00:00+00:00,90,39347.0,30.0,30.0,30.85,9399.0,0,-4.419970857614231,0.0
45,45,2020-10-03 00:00:00+00:00,85,39259.5,27.5,32.0,29.807000000000002,9405.5,0,-0.29933660314102895,0.0
